先生,111.81476285714979,pos,2,n
平安,110.6486132363905,pos,2,a
大家,107.09597500556058,pos,2,n
前线,106.18422616260786,pos,2,n
感谢,106.05129150692821,pos,2,v
每,105.5520560480208,pos,1,zg
致敬,103.42318741167844,pos,2,v
医护人员,101.34132093416878,pos,4,n
健康,100.16702473148453,pos,2,a
加油,99.48789462720556,pos,2,v
祝福,97.5029775218616,pos,2,nr
您们,97.48307610789024,pos,2,r
早日,97.46798104778016,pos,2,t
们,96.40862354986385,pos,1,k
战胜,96.39735914111507,pos,2,n
英雄,95.12714326359796,pos,2,ns
所有,95.05786939048433,pos,2,b
奉献,94.94998025170268,pos,2,v
辛苦,93.24127550902347,pos,2,a
医务,93.05013059695193,pos,2,n
希望,92.75085375187976,pos,2,v
王一博,92.7404264841069,pos,3,nr
难关,92.49927712737886,pos,2,v
抗击,92.0044642195514,pos,2,vn
UNIQ,91.72947931003523,pos,4,eng
蔡徐坤,91.25328214782611,pos,3,nr
努力,91.01327647716856,pos,2,ad
工作者,90.75931197740265,pos,3,n
守护,90.3237995065301,pos,2,v
暖,90.22701055816674,pos,1,a
助力,89.83178213281118,pos,2,n
一定,89.78852727486849,pos,2,d
你们,89.68738542347043,pos,2,r
站,89.30089297132892,pos,1,v
医务人员,88.83356926160587,pos,4,n
我们,88.33655897698998,pos,2,r
共渡难关,88.18275879266216,pos,4,l
真挚,88.1586511018666,pos,2,a
坚守,88.09899164345009,pos,2,v
朱一龙,87.82285255142818,pos,3,nr
中国,87.49435403470099,pos,2,ns
渡过难关,87.11713305256939,pos,4,n
杨洋,87.0800746966032,pos,2,nr
祖国,86.97076360616973,pos,2,n
奋战,86.92505150780222,pos,2,v
愿,86.5480576772971,pos,1,v
感恩,86.46831237161626,pos,2,v
归来,86.32039807972038,pos,2,v
防护,85.94185491568115,pos,2,v
白衣战士,85.6004467016975,pos,4,n
祝,85.53010363369735,pos,1,v
战斗,85.39872257964059,pos,2,vn
一切,85.37351185948498,pos,2,r
支持,85.14246708673521,pos,2,v
疫情,85.07446090677352,pos,2,n
家乡,84.50029751573834,pos,2,n
民族,84.44537210069662,pos,2,n
逆,84.30310321888427,pos,1,vg
风雨,84.24633758955859,pos,2,n
春,84.12060566564429,pos,1,tg
春天,84.00308850950972,pos,2,t
O,83.80117003385519,pos,1,x
相信,83.79670114787224,pos,2,v
和,83.7040379744573,pos,1,c
元宵,83.63634201913828,pos,2,t
王源,83.32991191651418,pos,2,nr
春暖花开,83.3027822874955,pos,4,l
TFBOYS,83.18544886887312,pos,6,eng
武汉,83.1319535217209,pos,2,ns
湖北,82.86625196133323,pos,2,ns
L,81.73190210401502,pos,1,x
方式,81.19439791450516,pos,2,n
支援,81.06646365292958,pos,2,v
王俊凯,80.95169703243548,pos,3,nr
事业,80.87058386848757,pos,2,n
最美,80.67659561843344,pos,2,a
打赢,80.27679631117078,pos,2,v
做好,80.1472182563736,pos,2,v
奋斗,79.90308667680263,pos,2,v
专业,79.42240086938662,pos,2,n
保重,79.26338987713599,pos,2,v
平平安安,79.25547442558818,pos,4,ns
行者,79.12984767601775,pos,2,n
爱心,79.10517821423498,pos,2,n
爱,79.0059225778322,pos,1,v
好,78.79930012546623,pos,1,a
凯旋,78.59601939462556,pos,2,nr
生命,78.18181960999796,pos,2,vn
工作人员,77.91446650314774,pos,4,n
温暖,77.86552317730005,pos,2,an
人民,77.56304868361867,pos,2,n
转发,77.42229218521453,pos,2,v
防疫,77.30313100305465,pos,2,vn
拥抱,77.27432179717313,pos,2,v
力量,77.21849726444646,pos,2,n
可爱,77.14604234044026,pos,2,v
网页,77.12478886700836,pos,2,n
能,77.09584370865159,pos,1,v
度过难关,77.04926181524388,pos,4,l
能量,76.9838470076598,pos,2,n
点亮,76.89746701038152,pos,2,v
值得,76.84262903786556,pos,2,v
坚持,76.79459353732449,pos,2,v
志愿者,76.77987949312146,pos,3,n
携手,76.62032402869923,pos,2,v
都,76.34751176366359,pos,1,d
期待,76.07639407805249,pos,2,v
微博,76.05970196399036,pos,2,a
期盼,75.86908133318052,pos,2,v
驰援,75.64927221516557,pos,2,v
华夏,75.38048085882146,pos,2,ns
老师,75.31300855496586,pos,2,n
张云雷,75.26346003726464,pos,3,nr
白衣天使,75.2002913258845,pos,4,nr
付出,75.08676086041491,pos,2,v
做,75.05029452216661,pos,1,v
米奇,75.0330878691155,pos,2,nr
